,id,Profession,annee_sour,source,Professi_1,localisati,détail,ind_Nom,indiv_titr,associé_n,successeur,ancienne m,nbre_adres,activités,annee_expo,nom_boutiq,type_rue,article_ru,nom_rue,num_rue,cpltnum_ru,ville_rue,autre_vill,infos_rue,unnamed_1,quart/sect,arrondisse,unnamed_2,unnamed_3,geocoder_t,geocoder_s,a_corriger,lon,lat,address,type_1,properties.city_1,properties.oldcity_1,properties.street_1,properties.postalcode_1,properties.number_1,properties.inseecode_1,properties.housenumberinfos_1,properties._score_1,properties._type_1,geometry.type_1,geometry.lng_1,geometry.lat_1,properties.housenumberinfos.date_1,properties.housenumberinfos.source_1,properties.housenumberinfos.kind_1,properties.housenumberinfos.otherpositions_1
10,12,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,ber,,,,,,"fab rue du faubourg saint martin ; dépôt rue bourg l'abbé, 51",,,rue,du,faubourg saint martin,39,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.356214161952,48.8705743314219,39  rue du faubourg saint martin,Feature,Paris 10e Arrondissement,[],rue du faubourg saint martin,75010,39,"['75110', '75']",,1.0,address,Point,2.356337,48.870585,2018-10-21,ign,entrance,"[{'date': '2018-10-21', 'source': 'dgfip', 'kind': 'parcel', 'geometry': {'type': 'Point', 'coordinates': ['2.356212', '48.870632']}}]"
11,13,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,ber,,,,,,"fab rue du faubourg saint martin ; dépot rue bourg l'abbé, 52",,,rue,,bourg l'abbé,52,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.35143917087788,48.864995401327896,52  rue  bourg l'abbé,Feature,Paris 3e Arrondissement,[],rue du bourg l'abbé,75003,,"['75103', '75']",,0.7727272727272726,address,Point,2.352285,48.863957,,,,
12,14,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,bernardin,,,,,,fabr,,,rue,du,caire,16,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.35034100464644,48.867719493169005,16  rue du caire,Feature,Paris 2e Arrondissement,[],rue du caire,75002,16,"['75102', '75']",,1.0,address,Point,2.351238,48.867475,2018-10-21,ign,entrance,"[{'date': '2018-10-21', 'source': 'dgfip', 'kind': 'parcel', 'geometry': {'type': 'Point', 'coordinates': ['2.351283', '48.867516']}}]"
13,15,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,"blondel, h",,,,,,"et nouveautés en tout genre , dépôtd e broderies de nancy de mm balbastre frères",,,rue,de,cléry,34,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3463095947131203,48.867995358521696,34  rue de cléry,Feature,Paris 2e Arrondissement,[],rue de cléry,75002,34,"['75102', '75']",,1.0,address,Point,2.346395,48.867978,2018-10-21,ign,entrance,"[{'date': '2018-10-21', 'source': 'dgfip', 'kind': 'parcel', 'geometry': {'type': 'Point', 'coordinates': ['2.346486', '48.867909']}}]"
14,16,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,"bonnaud, s & co",,,,,,"étoffes et articles des fab de lyon, nismes et ganges",,,rue,du,chevalier du guet,7,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34622086853155,48.8588492796293,7  rue du chevalier du guet,Feature,Paris 8e Arrondissement,[],rue du chevalier de saint george,75008,7,"['75108', '75']",,0.6008869179600886,address,Point,2.324826,48.868447,2018-10-21,ign,entrance,"[{'date': '2018-10-21', 'source': 'dgfip', 'kind': 'parcel', 'geometry': {'type': 'Point', 'coordinates': ['2.324709', '48.868494']}}]"
15,17,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,bosquillon,,,,,,fab,,,rue,,neuve saint eustache,13,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34517398917344,48.8672676214252,13  rue  neuve saint eustache,Feature,Paris 1er Arrondissement,[],porte saint eustache,75001,,"['75101', '75']",,0.5867768595041322,address,Point,2.345748,48.862829,,,,
16,18,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,boudet,,,,,,fab,,,rue,,saint denis,369,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3518527454012204,48.86863523608379,369  rue  saint denis,Feature,Paris 2e Arrondissement,[],rue saint-denis,75002,,"['75102', '75']",,0.8268398268398267,address,Point,2.350806,48.866191,,,,
17,19,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,bouré,,,,,,"fabr laines, façon cachemire et madras",,,rue,,meslay,58,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3562141394427405,48.86855963169029,58  rue  meslay,Feature,Paris 3e Arrondissement,[],rue meslay,75003,58,"['75103', '75']",,1.0,address,Point,2.355982,48.868569,2018-10-21,ign,segment,
18,20,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,boursier wion,,,,,,march,,,rue,,saint honoré,414,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.32431871940968,48.8680969074303,414  rue  saint honoré,Feature,Paris 8e Arrondissement,[],rue saint-honoré,75008,414,"['75108', '75']",,1.0,address,Point,2.324254,48.868131,2018-10-21,ign,entrance,"[{'date': '2018-10-21', 'source': 'dgfip', 'kind': 'parcel', 'geometry': {'type': 'Point', 'coordinates': ['2.324459', '48.868372']}}]"
19,21,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,brunet & devin,,,,,,fab,,,rue,,bourbon villeneuve,23,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34890932909217,48.8684194336469,23  rue  bourbon villeneuve,Feature,Paris 6e Arrondissement,[],rue de bourbon le chateau,75006,,"['75106', '75']",,0.4405594405594406,address,Point,2.336137,48.853866,,,,
